Game Name,System Full,Units(m),Publisher,Developer,Image_URL,Release Date
Pac-Man,Atari 2600,7.7,Atari,Atari,https://www.vgchartz.com/games/boxart/3878609ccc.jpg,01/03/1982
Pitfall!,Atari 2600,4.0,Activision,Activision,https://www.vgchartz.com/games/boxart/127822ccc.jpg,20/04/1982
Frogger,Atari 2600,4.0,Parker Bros.,Konami,https://www.vgchartz.com/games/boxart/7351891ccc.jpg,01/01/1982
Missile Command,Atari 2600,2.5,Atari,Atari,https://www.vgchartz.com/games/boxart/8855822ccc.jpg,01/01/1981
Space Invaders,Atari 2600,2.0,Atari,Atari,https://www.vgchartz.com/games/boxart/7131076ccc.jpg,01/01/1978
Adventure,Atari 2600,1.0,Atari,Atari,https://www.vgchartz.com/games/boxart/2255610ccc.jpg,01/01/1978
Dragster,Atari 2600,0.5,Activision,Activision,https://www.vgchartz.com/games/boxart/551809ccc.jpg,01/01/1980
Entity,Atari 2600,0.0,CGE Services Corporation,CGE Services,https://www.vgchartz.com/games/boxart/full_6145241AmericaFrontccc.jpg,09/08/2003
Mission 3000,Atari 2600,0.0,Bit Corporation,Quelle,https://www.vgchartz.com/games/boxart/full_9918249PALFrontccc.jpg,01/01/1983
Glib,Atari 2600,0.0,Unknown,Selchow & Righter,https://www.vgchartz.com/games/boxart/1137241ccc.jpg,01/01/1983
Phaser Patrol,Atari 2600,0.0,Unknown,Arcadia,https://www.vgchartz.com/games/boxart/5877491ccc.jpg,01/01/1982
Kool-Aid Man,Atari 2600,0.0,Mattel Interactive,Mattel,https://www.vgchartz.com/games/boxart/775863ccc.jpg,01/01/1983
Revenge of The Beefsteak Tomatoes,Atari 2600,0.0,20th Century Fox Video Games,20th Century Fox Video Games,https://www.vgchartz.com/games/boxart/3827186ccc.jpg,01/01/1983
Snail Against Squirrel,Atari 2600,0.0,Bit Corporation,Bit Corporation,https://www.vgchartz.com/games/boxart/full_546260AmericaFrontccc.jpg,20/08/1983
Star Strike,Atari 2600,0.0,Mattel Interactive,Mattel Interactive,https://www.vgchartz.com/games/boxart/8541509ccc.jpg,01/01/1982
Sword of Saros,Atari 2600,0.0,Unknown,Starpath Corp.,https://www.vgchartz.com/games/boxart/full_4341715AmericaFrontccc.jpg,01/01/1983
DatabaseTestingNA,Atari 2600,0.0,Unknown,TalonSoft,https://www.vgchartz.com/games/boxart/default.jpg,
Miniature Golf,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/1067679ccc.jpg,01/01/1979
Video Olympics,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/1287435ccc.jpg,01/10/1977
Air-Sea Battle,Atari 2600,0.98,Atari,Atari,https://www.vgchartz.com/games/boxart/full_5617044AmericaFrontccc.jpg,01/01/1977
Pong Sports,Atari 2600,0.0,Sears,Telegames,https://www.vgchartz.com/games/boxart/full_7607624AmericaFrontccc.jpg,01/01/1977
Bugs,Atari 2600,0.0,Data Age,Data Age,https://www.vgchartz.com/games/boxart/3290921ccc.jpg,01/01/1982
Crash Dive,Atari 2600,0.0,20th Century Fox Video Games,20th Century Fox Video Games,https://www.vgchartz.com/games/boxart/4693003ccc.jpg,01/01/1982
Starmaster,Atari 2600,0.0,Activision,Activision,https://www.vgchartz.com/games/boxart/3273158ccc.jpg,23/06/1982
River Raid,Atari 2600,1.6,Activision,Activision,https://www.vgchartz.com/games/boxart/5200578ccc.jpg,01/01/1982
Task Force,Atari 2600,0.0,Unknown,Froggo,https://www.vgchartz.com/games/boxart/9164061ccc.jpg,01/01/1983
Joust,Atari 2600,1.08,Atari,Atari,https://www.vgchartz.com/games/boxart/6620619ccc.jpg,01/01/1983
Word Zapper,Atari 2600,0.0,Vidtec,Vidtec,https://www.vgchartz.com/games/boxart/6090220ccc.jpg,01/01/1982
Alien,Atari 2600,0.79,20th Century Fox Video Games,20th Century Fox Video Games,https://www.vgchartz.com/games/boxart/4910706ccc.jpg,01/01/1982
Qb,Atari 2600,0.0,XYPE,XYPE,https://www.vgchartz.com/games/boxart/full_748185AmericaFrontccc.jpg,01/03/2001
Challenge,Atari 2600,0.0,Unknown,Funvision,https://www.vgchartz.com/games/boxart/full_challenge_172PALFront.jpg,01/01/1980
Dancing Plates,Atari 2600,0.0,Bit Corporation,Quelle,https://www.vgchartz.com/games/boxart/5724966ccc.jpg,01/01/1983
Fathom,Atari 2600,0.0,Imagic,Imagic,https://www.vgchartz.com/games/boxart/6692181ccc.jpg,01/01/1983
Mr. Do!'s Castle,Atari 2600,0.17,Parker Bros.,Parker Bros,https://www.vgchartz.com/games/boxart/297893ccc.jpg,01/01/1984
H.E.R.O.,Atari 2600,0.0,Activision,Activision,https://www.vgchartz.com/games/boxart/6102390ccc.jpg,23/03/1984
Popeye,Atari 2600,0.54,Parker Bros.,Parker Bros.,https://www.vgchartz.com/games/boxart/544832ccc.jpg,01/01/1983
Lost Luggage,Atari 2600,0.0,Apollo,Apollo,https://www.vgchartz.com/games/boxart/1319638ccc.jpg,01/01/1982
Room of Doom,Atari 2600,0.0,"CommaVid, Inc.","CommaVid, Inc.",https://www.vgchartz.com/games/boxart/full_room-of-doom_558AmericaFront.jpg,01/01/1982
Space Attack,Atari 2600,0.0,Mattel Interactive,Mattel,https://www.vgchartz.com/games/boxart/full_5851338AmericaFrontccc.jpg,01/01/1982
Combat Two,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/536898ccc.jpg,01/01/2001
Dishaster,Atari 2600,0.0,Unknown,Zimag,https://www.vgchartz.com/games/boxart/201614ccc.jpg,01/01/1983
Frankenstein's Monster,Atari 2600,0.32,Data Age,Data Age,https://www.vgchartz.com/games/boxart/2144143ccc.jpg,01/01/1983
Octopus,Atari 2600,0.0,Unknown,Carrere Video,https://www.vgchartz.com/games/boxart/full_9974794PALFrontccc.jpg,01/01/1982
I Want My Mommy,Atari 2600,0.0,Unknown,Zimag,https://www.vgchartz.com/games/boxart/2203352ccc.jpg,01/01/1983
Racing Pak,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/full_99638AmericaFrontccc.jpg,01/01/1978
Math Gran Prix,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/6694606ccc.jpg,01/01/1982
Shootin' Gallery,Atari 2600,0.0,Imagic,Imagic,https://www.vgchartz.com/games/boxart/1001770ccc.jpg,01/01/1982
Spider Fighter,Atari 2600,0.0,Activision,Activision,https://www.vgchartz.com/games/boxart/7663854ccc.jpg,01/01/1983
Submarine Commander,Atari 2600,0.0,Sears,Sears,https://www.vgchartz.com/games/boxart/72719ccc.jpg,01/01/1982
Battlezone,Atari 2600,0.62,Atari,Atari,https://www.vgchartz.com/games/boxart/full_4488888AmericaFrontccc.jpg,01/01/1983
Tomarc The Barbarian,Atari 2600,0.0,Xonox,Xonox,https://www.vgchartz.com/games/boxart/5985740ccc.jpg,01/01/1983
Artillery Duel,Atari 2600,0.0,Xonox,Xonox,https://www.vgchartz.com/games/boxart/full_8255661AmericaFrontccc.jpg,01/01/1983
Bobby is Going Home,Atari 2600,0.0,Bit Corporation,Bit Corporation,https://www.vgchartz.com/games/boxart/full_3113555AmericaFrontccc.jpg,01/01/1983
Berenstain Bears,Atari 2600,0.0,Coleco,Coleco,https://www.vgchartz.com/games/boxart/9333544ccc.jpg,01/01/1983
Double-Ender: Spike's Peak/Artillery Duel,Atari 2600,0.0,Xonox,Xonox,https://www.vgchartz.com/games/boxart/full_3572318AmericaFrontccc.jpg,01/01/1983
Sky Skipper,Atari 2600,0.0,Parker Bros.,Parker Bros.,https://www.vgchartz.com/games/boxart/2240114ccc.jpg,01/01/1983
Sssnake,Atari 2600,0.0,Data Age,Data Age,https://www.vgchartz.com/games/boxart/8336999ccc.jpg,01/01/1982
Super Football,Atari 2600,0.08,Atari,Atari,https://www.vgchartz.com/games/boxart/4330001ccc.jpg,01/01/1988
Double-Ender: Super Kung-Fu/Robin Hood,Atari 2600,0.0,Xonox,Xonox,https://www.vgchartz.com/games/boxart/full_1804444PALFrontccc.jpg,01/01/1983
James Bond 007,Atari 2600,0.0,Parker Bros.,Parker Brothers,https://www.vgchartz.com/games/boxart/2641297ccc.jpg,01/01/1983
Vanguard,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/490176ccc.jpg,01/01/1982
Spider-Man,Atari 2600,0.93,Parker Bros.,Parker Bros.,https://www.vgchartz.com/games/boxart/1006074ccc.jpg,01/01/1982
Speedway II,Atari 2600,0.0,Sears,Telegames,https://www.vgchartz.com/games/boxart/full_7459545AmericaFrontccc.jpg,01/01/1978
Brain Games,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/3907393ccc.jpg,01/01/1978
Cosmic Commuter,Atari 2600,0.0,Activision,Activision,https://www.vgchartz.com/games/boxart/9610135ccc.jpg,09/11/1984
Eggomania,Atari 2600,0.0,US Games,US Games,https://www.vgchartz.com/games/boxart/5313616ccc.jpg,01/01/1982
Gangster Alley,Atari 2600,0.0,Spectravision,Spectravision,https://www.vgchartz.com/games/boxart/9155114ccc.jpg,01/01/1983
Pele's Championship Soccer,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/1689240ccc.jpg,01/01/1980
Jungle Hunt,Atari 2600,1.1,Atari,Atari,https://www.vgchartz.com/games/boxart/3838680ccc.jpg,01/01/1983
RealSports Football,Atari 2600,0.26,Atari,Atari,https://www.vgchartz.com/games/boxart/9662244ccc.jpg,01/01/1982
E.T.: The Extra Terrestrial,Atari 2600,1.97,Atari,Atari,https://www.vgchartz.com/games/boxart/6239190ccc.jpg,01/01/1982
Ocean City Defender,Atari 2600,0.0,Unknown,Zellers,https://www.vgchartz.com/games/boxart/full_5670692AmericaFrontccc.jpg,
Cakewalk,Atari 2600,0.0,"CommaVid, Inc.","CommaVid, Inc.",https://www.vgchartz.com/games/boxart/8017436ccc.jpg,01/01/1983
Crypts of Chaos,Atari 2600,0.0,20th Century Fox Video Games,20th Century Fox Video Games,https://www.vgchartz.com/games/boxart/9539583ccc.jpg,01/01/1982
Exocet,Atari 2600,0.0,Panda Entertainment,Panda Entertainment,https://www.vgchartz.com/games/boxart/1862533ccc.jpg,01/01/1983
Moonsweeper,Atari 2600,0.0,Imagic,Imagic,https://www.vgchartz.com/games/boxart/1978302ccc.jpg,01/01/1983
Gravitar,Atari 2600,0.38,Atari,Atari,https://www.vgchartz.com/games/boxart/1702919ccc.jpg,01/01/1983
Planet Patrol,Atari 2600,0.0,Spectravision,Spectravision,https://www.vgchartz.com/games/boxart/3098986ccc.jpg,01/01/1983
Laser Gates,Atari 2600,0.0,Imagic,Imagic,https://www.vgchartz.com/games/boxart/3088747ccc.jpg,01/01/1983
Robin Hood,Atari 2600,0.0,Xonox,Xonox,https://www.vgchartz.com/games/boxart/full_5200238AmericaFrontccc.jpg,01/01/1983
Solar Storm,Atari 2600,0.0,Imagic,Imagic,https://www.vgchartz.com/games/boxart/6992728ccc.jpg,01/01/1983
Star Wars: Jedi Arena,Atari 2600,0.0,Parker Bros.,Parker Bros,https://www.vgchartz.com/games/boxart/8976855ccc.jpg,01/01/1983
Swordquest: WaterWorld,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/9021842ccc.jpg,01/01/1983
Rubik's Cube,Atari 2600,0.0,Atari,Atari,https://www.vgchartz.com/games/boxart/full_7069907AmericaFrontccc.jpg,01/01/1983
Wall Ball,Atari 2600,0.0,Avalon Interactive,Avalon Hill,https://www.vgchartz.com/games/boxart/7457353ccc.jpg,01/01/1983
